"1 'Coal, brown","2 'Coal, hard,",3 'Deltamethri,4 'Glyphosate',5 'Granite' (k,6 'MCPA' (kilo,7 'Metaldehyde,"8 'Phosphorus,",9 'Pirimicarb',10 'Trinexapac-,11 'Acenaphthen,12 'Acetaldehyd,13 'Acrolein' (,14 'Ammonia' (k,15 'Ammonia' (k,16 'Benzene' (k,"17 'Benzene, et",18 'Benzo(a)pyr,19 'Butadiene' ,20 'Carbon diox,21 'Carbon mono,22 'Carbon mono,23 'Chromium II,24 'Chromium VI,"25 'Dioxins, me",26 'Formaldehyd,27 'Manganese I,28 'Mercury II',"29 'Methane, no","30 'Methane, fo",31 'Nickel II' ,"32 'NMVOC, non-","33 'NMVOC, non-",34 'Particulate,35 'Propanal' (,36 'Propene' (k,37 'Styrene' (k,38 'Sulfur diox,39 'Sulfur diox,40 'Toluene' (k,41 'Xylene' (ki,42 'Cadmium II',43 'Nitrogen' (,44 'Phosphorus',45 'Tebuconazol,46 'Arsenic ion,"47 '2,4-D dimet",48 'Dinitrogen ,49 'Dinitrogen ,50 'Nitrogen ox,51 'Nitrogen ox,"52 'Gas, natura",53 'Particulate,54 'Particulate,short unit name,unit,method name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0091199555972707e-06,1.0091199555972707e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.650000112680573e-07,2.650000112680573e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.484000051732437e-07,1.484000051732437e-07,0.0,0.0,0.0,species,Species.year/kg SO2 eq.,"('ReCiPe 2016', '1.1 (20180117)', 'Endpoint', 'Terrestrial Acidification', 'Ecosystems', 'Italy', 'ecowheataly')"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.500000017695129e-05,6.500000017695129e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8000000384054147e-05,2.8000000384054147e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2000000171829015e-05,2.2000000171829015e-05,0.0,0.0,0.0,DALY,DALY/kg PM2.5 eq.,"('ReCiPe 2016', '1.1 (20180117)', 'Endpoint', 'Particulate Matter Formation', 'Humans', 'Italy', 'ecowheataly')"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.747790510213235e-07,5.643285589940206e-07,0.0,0.0,1.0450528264982495e-07,4.807243385585025e-07,0.0,9.300970305048395e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.807243385585025e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.524380407630815e-07,1.2227118304508622e-06,5.2252641324912474e-08,0.0,0.0,4.5982326923876826e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0282999483024469e-06,1.0282999483024469e-06,0.0,0.0,0.0,DALY,DALY/kg NOx eq.,"('ReCiPe 2016', '1.1 (20180117)', 'Endpoint', 'Ozone Formation', 'Humans', 'Italy', 'ecowheataly')"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.016316216213454e-07,1.9796559058704588e-07,0.0,0.0,3.66602961321405e-08,1.6863735652350442e-07,0.0,3.262766199441103e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.6863735652350442e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6395412078272784e-07,4.2892546048278746e-07,1.833014806607025e-08,0.0,0.0,1.6130529445490538e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3539998867126997e-07,3.3539998867126997e-07,0.0,0.0,0.0,species,Species.year/kg NOx eq.,"('ReCiPe 2016', '1.1 (20180117)', 'Endpoint', 'Ozone Formation', 'Ecosystems', 'Italy', 'ecowheataly')"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.086933872964437e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,species,Species.year/kg P to freshwater eq.,"('ReCiPe 2016', '1.1 (20180117)', 'Endpoint', 'Freshwater Eutrophication', 'Ecosystems', 'Italy', 'ecowheataly')"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.280000199396454e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.155200101900846e-05,3.340799958095886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027654398581944406,0.00027654398581944406,0.0,0.0,0.0,0.0,0.0,DALY,DALY/kg CO2 eq.,"('ReCiPe 2016', '1.1 (20180117)', 'Endpoint', 'Global Warming 100 year timescale', 'Humans and Ecoystems', 'Global', 'ecowheataly')"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.255793666947284e-08,0.0,0.0,0.0,1.095935203920817e-06,3.529516447997594e-07,0.0004235263040754944,9.762146646608016e-08,0.0,0.0,0.0,0.0,0.08543206006288528,339.4991760253906,6.194288744154619e-06,0.0,0.0,0.0,0.0,0.0016677184030413628,0.0,0.0,0.0,0.0,0.0,9.998353078799482e-08,0.0,0.0,4.041049272984765e-09,3.198673770299365e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DALY,"DALY/kg 1,4-DCB emitted to urban air eq.","('ReCiPe 2016', '1.1 (20180117)', 'Endpoint', 'Toxicity', 'Humans - Carcinogenic', 'Global', 'ecowheataly')"
0.0,0.0,4.651068934435898e-07,1.7503666072116175e-07,0.0,2.187555537602748e-06,0.0,0.0,1.412300747460904e-07,0.0,1.5548787812846854e-09,6.217662473773089e-08,7.055565947666764e-05,0.0,0.0,6.390399676092784e-08,2.281385969027383e-09,0.0,3.3677753918937015e-08,0.0,0.0,0.0,7.264474533030807e-08,9.794070501811802e-05,0.0,2.051057066410067e-07,0.0,0.0,0.0,0.0,2.195367414969951e-05,0.0,0.0,0.0,0.0,0.0,3.914974122665171e-09,0.0,0.0,1.5264962627270506e-08,1.5522285679026027e-08,0.0,0.0,0.0,2.2788725573263946e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DALY,"DALY/kg 1,4-DCB emitted to urban air eq.","('ReCiPe 2016', '1.1 (20180117)', 'Endpoint', 'Toxicity', 'Humans - Non-carcinogenic', 'Global', 'ecowheataly')"
0.0,0.0,1.574201746734616e-08,6.990916549945219e-16,0.0,7.510943428186932e-16,5.183102835815134e-10,0.0,4.308817625614525e-12,4.888848874340379e-12,2.0319447513461597e-11,4.645030887706625e-12,5.6423758998391804e-09,0.0,0.0,1.037326366297442e-12,5.532182784789841e-13,1.487795664445457e-09,0.0,0.0,0.0,0.0,6.905976874804765e-07,2.3400500595016638e-06,5.168429197510704e-06,1.7337362101521592e-10,0.0,0.0,0.0,0.0,3.0867593068251153e-06,0.0,0.0,0.0,1.2140393725046383e-11,0.0,1.8120054068315739e-13,0.0,0.0,3.896254792325887e-13,2.3798915312414626e-13,0.0,0.0,0.0,1.033686265923539e-12,0.0,1.0974810062563948e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,species,"species*yr/kg 1,4-DBC emitted to industrial soil eq.","('ReCiPe 2016', '1.1 (20180117)', 'Endpoint', 'Toxicity', 'Ecosystems - Terrestrial', 'Global', 'ecowheataly')"
0.0,0.0,7.763412135375347e-09,2.438311497154899e-10,0.0,1.2050188624712632e-10,4.7435153027741706e-11,0.0,3.16315834636427e-10,3.1679919798577316e-10,3.807015033080452e-12,3.4087375934063746e-13,8.936221207456185e-11,0.0,0.0,2.5414473111174014e-14,1.804806982032628e-14,4.3473113997549717e-10,0.0,0.0,0.0,0.0,1.4023768257764857e-10,5.370515587799218e-09,1.2281240913125657e-07,9.775289952496102e-12,0.0,0.0,0.0,0.0,1.1910045172314199e-09,0.0,0.0,0.0,1.8002919576105836e-13,0.0,1.0202892167471365e-14,0.0,0.0,1.2079037111354697e-14,8.241644129311498e-15,0.0,0.0,0.0,1.2738434751469185e-09,0.0,1.07218380007712e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,species,"species∙yr/kg 1,4-DBC emitted to freshwater eq.","('ReCiPe 2016', '1.1 (20180117)', 'Endpoint', 'Toxicity', 'Ecosystems - Freshwater', 'Global', 'ecowheataly')"
